sn,id,sid,mcq1,cq1,mcq2,cq2,mcq,cq,pra,ca,tot,gp,lg,result,gpa,grade
494,12,Chemistry,,,,,18,25,,,43,5,A+,,,
495,13,Chemistry,,,,,17,27,,,44,5,A+,,,
496,14,Chemistry,,,,,16,27,,,43,5,A+,,,
497,15,Chemistry,,,,,19,27,,,46,5,A+,,,
498,16,Chemistry,,,,,16,26,,,42,5,A+,,,
499,17,Chemistry,,,,,17,23,,,40,5,A+,,,
500,18,Chemistry,,,,,19,22,,,41,5,A+,,,
501,19,Chemistry,,,,,19,27,,,46,5,A+,,,
502,20,Chemistry,,,,,19,20,,,39,4,A,,,
503,21,Chemistry,,,,,18,26,,,44,5,A+,,,
504,22,Chemistry,,,,,15,13,,,28,3,B,,,
505,23,Chemistry,,,,,19,21,,,40,5,A+,,,
506,1,Biology,,,,,18,42,22,,82,5,A+,,,
507,2,Biology,,,,,17,41,22,,80,5,A+,,,
508,3,Biology,,,,,16,43,22,,81,5,A+,,,
509,4,Biology,,,,,19,44,22,,85,5,A+,,,
510,5,Biology,,,,,14,41,22,,77,4,A,,,
511,6,Biology,,,,,18,38,22,,78,4,A,,,
512,7,Biology,,,,,17,46,22,,85,5,A+,,,
513,8,Biology,,,,,17,44,22,,83,5,A+,,,
514,9,Biology,,,,,15,41,22,,78,4,A,,,
515,10,Biology,,,,,15,39,22,,76,4,A,,,
516,11,Biology,,,,,14,31,22,,67,3.5,A-,,,
517,12,Biology,,,,,16,38,22,,76,4,A,,,
518,13,Biology,,,,,14,40,22,,76,4,A,,,
519,14,Biology,,,,,14,39,22,,75,4,A,,,
520,15,Biology,,,,,14,37,22,,73,4,A,,,
521,16,Biology,,,,,12,38,22,,72,4,A,,,
522,17,Biology,,,,,14,40,22,,76,4,A,,,
523,18,Biology,,,,,15,40,22,,77,4,A,,,
524,19,Biology,,,,,14,40,22,,76,4,A,,,
525,20,Biology,,,,,17,30,22,,69,3.5,A-,,,
526,21,Biology,,,,,10,34,22,,66,3.5,A-,,,
527,22,Biology,,,,,15,35,22,,72,4,A,,,
528,23,Biology,,,,,14,31,22,,67,3.5,A-,,,
529,1,ICT,,,,,23,,25,,48,5,A+,,,
530,2,ICT,,,,,22,,25,,47,5,A+,,,
531,3,ICT,,,,,22,,25,,47,5,A+,,,
532,4,ICT,,,,,23,,25,,48,5,A+,,,
533,5,ICT,,,,,23,,25,,48,5,A+,,,
534,6,ICT,,,,,21,,24,,45,5,A+,,,
535,7,ICT,,,,,21,,24,,45,5,A+,,,
536,8,ICT,,,,,20,,24,,44,5,A+,,,
537,9,ICT,,,,,20,,24,,44,5,A+,,,
538,10,ICT,,,,,15,,22,,37,4,A,,,
539,11,ICT,,,,,16,,22,,38,4,A,,,
540,12,ICT,,,,,21,,22,,43,5,A+,,,
541,13,ICT,,,,,19,,24,,43,5,A+,,,
542,14,ICT,,,,,18,,25,,43,5,A+,,,
543,15,ICT,,,,,19,,24,,43,5,A+,,,
544,16,ICT,,,,,20,,23,,43,5,A+,,,
545,17,ICT,,,,,18,,22,,40,5,A+,,,
546,18,ICT,,,,,21,,22,,43,5,A+,,,
547,19,ICT,,,,,19,,21,,40,5,A+,,,
548,20,ICT,,,,,20,,21,,41,5,A+,,,
549,21,ICT,,,,,21,,21,,42,5,A+,,,
550,22,ICT,,,,,18,,22,,40,5,A+,,,
551,23,ICT,,,,,17,,21,,38,4,A,,,
552,24,ICT,,,,,18,,24,,42,5,A+,,,
553,25,ICT,,,,,17,,24,,41,5,A+,,,
554,26,ICT,,,,,17,,24,,41,5,A+,,,
555,27,ICT,,,,,15,,23,,38,4,A,,,
556,28,ICT,,,,,13,,23,,36,4,A,,,
557,29,ICT,,,,,11,,22,,33,3.5,A-,,,
558,30,ICT,,,,,7,,20,,27,0,F,,,
559,31,ICT,,,,,14,,22,,36,4,A,,,
560,32,ICT,,,,,15,,23,,38,4,A,,,
561,33,ICT,,,,,12,,22,,34,3.5,A-,,,
562,34,ICT,,,,,12,,23,,35,4,A,,,
563,35,ICT,,,,,12,,20,,32,3.5,A-,,,
564,36,ICT,,,,,,,,,,,,,,
565,37,ICT,,,,,13,,22,,35,4,A,,,
566,38,ICT,,,,,13,,21,,34,3.5,A-,,,
567,39,ICT,,,,,12,,22,,34,3.5,A-,,,
568,40,ICT,,,,,13,,23,,36,4,A,,,
569,41,ICT,,,,,8,,20,,28,3,B,,,
570,42,ICT,,,,,8,,20,,28,3,B,,,
571,43,ICT,,,,,14,,21,,35,4,A,,,
572,44,ICT,,,,,12,,20,,32,3.5,A-,,,
573,45,ICT,,,,,12,,22,,34,3.5,A-,,,
574,46,ICT,,,,,10,,22,,32,3.5,A-,,,
575,47,ICT,,,,,11,,21,,32,3.5,A-,,,
576,48,ICT,,,,,10,,20,,30,3.5,A-,,,
577,49,ICT,,,,,8,,22,,30,3.5,A-,,,
578,50,ICT,,,,,10,,21,,31,3.5,A-,,,
579,51,ICT,,,,,14,,22,,36,4,A,,,
580,52,ICT,,,,,13,,23,,36,4,A,,,
581,53,ICT,,,,,12,,22,,34,3.5,A-,,,
582,54,ICT,,,,,11,,21,,32,3.5,A-,,,
583,55,ICT,,,,,8,,22,,30,3.5,A-,,,
584,56,ICT,,,,,11,,21,,32,3.5,A-,,,
585,57,ICT,,,,,,,,,,,,,,
586,58,ICT,,,,,9,,21,,30,3.5,A-,,,
587,59,ICT,,,,,,,,,0,0,F,,,
588,60,ICT,,,,,10,,20,,30,3.5,A-,,,
589,61,ICT,,,,,16,,24,,40,5,A+,,,
590,62,ICT,,,,,17,,24,,41,5,A+,,,
591,63,ICT,,,,,15,,23,,38,4,A,,,
592,64,ICT,,,,,10,,22,,32,3.5,A-,,,
593,65,ICT,,,,,10,,21,,31,3.5,A-,,,
594,66,ICT,,,,,12,,22,,34,3.5,A-,,,
595,1,H.Math,,,,,17,0,,,17,0,F,,,
596,2,H.Math,,,,,17,15,,,32,1.5,F,,,
597,3,H.Math,,,,,,,,,0,0,F,,,
598,4,H.Math,,,,,13,4,,,17,0,F,,,
599,5,H.Math,,,,,17,25,,,42,3,C,,,
600,6,H.Math,,,,,,,,,0,0,F,,,
601,7,H.Math,,,,,16,20,,,36,2,D,,,
602,8,H.Math,,,,,18,22,,,40,3,C,,,
603,9,H.Math,,,,,,,,,0,0,F,,,
604,10,H.Math,,,,,,,,,0,0,F,,,
605,11,H.Math,,,,,17,26,,,43,3,C,,,
606,12,H.Math,,,,,14,22,,,36,2,D,,,
607,13,H.Math,,,,,16,26,,,42,3,C,,,
608,14,H.Math,,,,,17,26,,,43,3,C,,,
609,15,H.Math,,,,,18,26,,,44,3,C,,,
610,16,H.Math,,,,,,,,,0,0,F,,,
611,17,H.Math,,,,,16,22,,,38,2,D,,,
612,18,H.Math,,,,,16,28,,,44,3,C,,,
613,19,H.Math,,,,,,,,,0,0,F,,,
614,20,H.Math,,,,,13,28,18,,59,1,B,,,
615,21,H.Math,,,,,17,16,,,33,1.5,D,,,
616,22,H.Math,,,,,9,1,,,10,0,F,,,
617,23,H.Math,,,,,16,10,,,26,1,F,,,
618,24,H.Science,,,,,23,46,20,,89,3,A+,,,
619,25,H.Science,,,,,20,43,20,,83,3,A+,,,
620,26,H.Science,,,,,19,41,20,,80,3,A+,,,
621,27,H.Science,,,,,17,43,20,,80,3,A+,,,
622,28,H.Science,,,,,18,36,20,,74,2,A,,,
623,29,H.Science,,,,,17,31,18,,66,1.5,A-,,,
624,30,H.Science,,,,,15,18,18,,51,1,B,,,
625,31,H.Science,,,,,17,31,20,,68,1.5,A-,,,
626,32,H.Science,,,,,17,36,20,,73,2,A,,,
627,33,H.Science,,,,,21,31,18,,70,2,A,,,
628,34,H.Science,,,,,18,24,18,,60,1.5,A-,,,
629,35,H.Science,,,,,17,30,18,,65,1.5,A-,,,
630,36,H.Science,,,,,18,20,18,,56,1,B,,,
631,37,H.Science,,,,,10,28,18,,56,1,B,,,
632,38,H.Science,,,,,9,12,19,,40,0,C,,,
633,39,H.Science,,,,,12,22,18,,52,1,B,,,
634,40,H.Science,,,,,11,25,18,,54,1,B,,,
635,41,H.Science,,,,,16,24,18,,58,1,B,,,
636,42,H.Science,,,,,14,29,18,,61,1.5,A-,,,
637,43,H.Science,,,,,16,29,18,,63,1.5,A-,,,
638,44,H.Science,,,,,15,13,18,,46,0,C,,,
639,45,H.Science,,,,,17,24,19,,60,1.5,A-,,,
640,46,H.Science,,,,,12,30,18,,60,1.5,A-,,,
641,47,H.Science,,,,,19,26,18,,63,1.5,A-,,,
642,48,H.Science,,,,,17,26,18,,61,1.5,A-,,,
643,49,H.Science,,,,,13,25,18,,56,1,B,,,
644,50,H.Science,,,,,16,34,20,,70,2,A,,,
645,51,H.Science,,,,,16,27,18,,61,1.5,A-,,,
646,52,H.Science,,,,,15,22,18,,55,1,B,,,
647,53,H.Science,,,,,13,23,18,,54,1,B,,,
648,54,H.Science,,,,,16,23,18,,57,1,B,,,
649,55,H.Science,,,,,16,31,20,,67,1.5,A-,,,
650,56,H.Science,,,,,17,31,20,,68,1.5,A-,,,
651,57,H.Science,,,,,,,,,,,,,,
652,58,H.Science,,,,,14,25,18,,57,1,B,,,
653,59,H.Science,,,,,,,,,0,0,F,,,
654,60,H.Science,,,,,14,28,18,,60,1.5,A-,,,
655,61,H.Science,,,,,15,22,18,,55,1,B,,,
656,62,H.Science,,,,,19,20,18,,57,1,B,,,
657,63,H.Science,,,,,17,23,18,,58,1,B,,,
658,64,H.Science,,,,,13,24,18,,55,1,B,,,
659,65,H.Science,,,,,15,25,18,,58,1,B,,,
660,66,H.Science,,,,,19,23,18,,60,1.5,A-,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
